Date & time,Method,Pre proc,Red limit,IR limit,R square of Chlorophyll-a,R square of P,R square of K,Mean squared error of Chlorophyll-a,Mean squared error of P,Mean squared error of K,Mean absolute percentage error of Chlorophyll-a,Mean absolute percentage error of P,Mean absolute percentage error of K
"08/08/2024, 01:17:28",Linear Regression,,740,758,-0.2230284593803999,-0.4653709956826155,-1.155300101520496,10.468033889706984,1002756.8036303228,228513700.10845777,0.0582700996699139,0.2335937693717739,0.3599324292584083
"08/08/2024, 01:17:28",Linear Regression,,740,757,-0.22371148007487,-0.340678898752311,-1.2690573144161317,10.473879938277848,917429.7097242852,240574703.4065454,0.058563143977756,0.2198739003012556,0.3753521301862084
"08/08/2024, 01:17:28",Linear Regression,,740,759,-0.2556846864255464,-0.4894937537538597,-1.027856924023483,10.747542096402144,1019264.0634638644,215001655.06986836,0.0591510322379572,0.2354211296507626,0.3501677613198681
"08/08/2024, 01:17:26",Linear Regression,,740,754,-0.2657104405432537,-0.1738044818125081,-0.4212584088848488,10.83335361866811,803237.1554624336,150687608.4659469,0.0593621061107709,0.2126136216962662,0.3217512128730222
"08/08/2024, 01:17:27",Linear Regression,,740,756,-0.2672303167686725,-0.3325006017685659,-1.2598250904804478,10.84636240494272,911833.2819481645,239595865.40144128,0.0598009933046425,0.2186174297957494,0.3729552394735085
"12/08/2024, 18:09:22",elastic_net,nvdi,660,1426,-0.0294266978988795,0.0624714816483874,-0.0296722780344571,10.313188037607832,672150.9716981146,105110232.58187936,0.0632586914480872,0.1650596570430222,0.2493961545672148
"12/08/2024, 19:11:21",elastic_net,nvdi,661,1426,-0.0294247649425523,0.0624918905706927,-0.0295693334252697,10.313168672516454,672136.3397411231,105099723.86755776,0.0632587159480675,0.1650618731721318,0.2493815887337607
"12/08/2024, 17:07:26",elastic_net,nvdi,659,1426,-0.0294287728905537,0.0623806179154095,-0.0297731356352253,10.313208825663317,672216.1154726428,105120528.25177407,0.0632587330314473,0.1650634356307814,0.2494074617641741
"12/08/2024, 16:05:38",elastic_net,nvdi,658,1426,-0.0294282144911395,0.0621980114974647,-0.0298239932649249,10.313203231405684,672347.033176859,105125719.86215372,0.0632587772655939,0.1650739687127166,0.2494155590071486
"12/08/2024, 15:03:51",elastic_net,nvdi,657,1426,-0.0294280233538342,0.0620468057201976,-0.0297658734925669,10.313201316519493,672455.4385300052,105119786.92317843,0.0632588868662858,0.1650823024534081,0.2494006654988448
"15/08/2024, 08:30:32",grad_descend,nvdi,718,751,-3.331579654100375e+23,-1.3606361509105512e+20,-5.648160145957785e+16,2.8515353390099457e+24,9.31086504107689e+25,5.988409562303667e+24,22521849697.91208,1036200809.4030848,64509129.140543856
"15/08/2024, 08:30:31",grad_descend,nvdi,718,750,-2.1266662496059157e+23,-2.510956180001282e+20,-4.351128694662592e+18,1.820236822963953e+24,1.718253193581865e+26,4.61324396061593e+26,24531959290.197723,3083549922.399207,485503517.7454803
"15/08/2024, 09:33:09",grad_descend,nvdi,719,751,-2.037623520381982e+23,-1.1673691667696952e+21,-7.869275263509747e+16,1.744024180486251e+24,7.988334543098258e+26,8.34332632549858e+24,25490803699.747192,6066869531.496663,51124870.06295685
"15/08/2024, 04:17:40",grad_descend,nvdi,714,750,-3.876260994239788e+23,-1.483068404552326e+21,-1.3525726477409398e+18,3.3177340348734057e+24,1.01486718195978e+27,1.4340526415914364e+26,30107376454.60757,6741429633.150462,339868408.3380466
"14/08/2024, 16:49:20",grad_descend,nvdi,703,752,-5.400963348510351e+23,-3.237385801769064e+20,-2.4283881212930324e+18,4.622743398621664e+24,2.215350684751273e+26,2.5746760486143845e+26,30129974331.26917,2151554990.7917542,443187226.3551787
"02/09/2024, 18:51:41",gradient_boost,nvdi,735,1084,0.0303563296218836,-0.1206454582555696,-0.2572254383125805,8.299285862571203,766860.3111662671,133296164.45366894,0.0528384538261129,0.2064215846436348,0.3380702579879071
"03/09/2024, 07:10:44",gradient_boost,nvdi,738,1093,0.0316994604080617,-0.1193486031744366,-0.2600530775125644,8.287789859775696,765972.8701975569,133595962.28493343,0.0529852318800244,0.2064796703097995,0.3392382026398447
"01/09/2024, 22:18:06",gradient_boost,nvdi,730,1084,0.0330837676478911,-0.1203063860234061,-0.251060094823829,8.275941423225296,766628.2832438326,132642489.61179411,0.0529943009581403,0.206280989013849,0.3376743711368904
"01/09/2024, 22:18:46",gradient_boost,nvdi,730,1094,0.0318437114989211,-0.1174535741545905,-0.2400718258584917,8.286555198966159,764676.0974019124,131477468.55635747,0.0529943961535215,0.2060314293415442,0.3365975188664915
"03/09/2024, 03:02:21",gradient_boost,nvdi,737,1084,0.0289608147360264,-0.1202057674180308,-0.250582382731368,8.311230226585549,766559.4296965677,132591840.6289644,0.0530033004523607,0.2063734586509696,0.3377660565483045
"13/08/2024, 16:42:04",random_forrest,nvdi,680,1665,-0.0137540313076742,-0.0319677542290879,-0.3629076513601585,8.676831249643998,706177.9506549294,144501023.3603778,0.0553473631133074,0.2001313207456029,0.3452808150565283
"12/08/2024, 08:36:59",random_forrest,nvdi,650,1067,0.0077162838794635,-0.1166587662685956,-0.49474709723536,8.493064481767222,764132.2085044191,158479178.68823087,0.0553856096762402,0.205341243816819,0.3573540618412707
"11/08/2024, 23:56:19",random_forrest,nvdi,642,764,-0.0034321271598705,0.0065795429406192,-0.5112844562209318,8.588484946991109,679799.9449400846,160232536.8814351,0.0553940067274934,0.1995572648534767,0.3623390851392996
"13/08/2024, 13:08:06",random_forrest,nvdi,677,937,0.0049461321236391,-0.1995130921076902,-0.5135213777966354,8.516774512582279,820829.617686217,160469704.42286277,0.0554796125946937,0.2161965346842609,0.369901275548211
"11/08/2024, 18:51:00",random_forrest,nvdi,637,1300,0.0036878633917385,-0.0270063634957642,-0.5169780266195296,8.527544171805555,702782.8593586183,160836192.41770762,0.055492193925608,0.2025301681522348,0.3649163238543339
"26/08/2024, 16:07:54",ridge,nvdi,740,756,-0.1717391593555999,-0.0910034933664019,-0.0740522566475538,10.02904318043849,746576.2451835515,113875397.26055986,0.0591252333181842,0.2041086413426971,0.3093376357343085
"26/08/2024, 16:07:44",ridge,nvdi,740,750,-0.1717764981997749,-0.0890074796321329,-0.0749629990737055,10.02936276767559,745210.3683113635,113971957.884066,0.0591306915465481,0.2039219786886968,0.3094538508893322
"26/08/2024, 16:07:46",ridge,nvdi,740,751,-0.172278056860929,-0.0897948330985227,-0.0747560695863645,10.033655662924566,745749.1561320659,113950018.37653267,0.0591325379777391,0.204002638875439,0.3094259852685034
"26/08/2024, 16:07:47",ridge,nvdi,740,752,-0.1727007095663664,-0.0906462309761957,-0.0744976132605856,10.037273193498086,746331.7696933745,113922615.78360446,0.0591355621829712,0.2040821493532578,0.3093884866283653
"26/08/2024, 16:07:52",ridge,nvdi,740,755,-0.1729247208213575,-0.0923168968376904,-0.0738638747973825,10.039190530246008,747475.0102543946,113855424.24910516,0.0591359635401333,0.2042279430972584,0.3092964740775185
"09/08/2024, 17:07:01",SVR,nvdi,625,750,-0.1861898116260016,-0.2036227859910044,-0.0432129712449136,10.152727888291954,823641.8908337496,110605690.54496768,0.0576540038164877,0.2151004079921983,0.3088722003078435
"09/08/2024, 17:06:43",SVR,nvdi,625,750,-0.1861898116260016,-0.2036227859910044,-0.0432129712449136,10.152727888291954,823641.8908337496,110605690.54496768,0.0576540038164877,0.2151004079921983,0.3088722003078435
"09/08/2024, 17:06:36",SVR,nvdi,625,766,-0.1555140932400498,-0.1832161501891733,-0.0533115593220312,9.890171071079433,809677.5821707683,111676384.00698036,0.0577675510583852,0.2126550564937078,0.311015694060739
"09/08/2024, 17:06:31",SVR,nvdi,625,765,-0.1578707692008445,-0.1840739545797136,-0.0526300540211976,9.910342117497398,810264.5797238334,111604128.03769463,0.0577875936819036,0.2127443707229094,0.3108683324372854
"09/08/2024, 17:06:26",SVR,nvdi,625,764,-0.1599792565505211,-0.1851508971699225,-0.0519422708988153,9.928388890541108,811001.5340600616,111531206.46818472,0.0578067770431042,0.2128492288607079,0.3107165592912651
