Date & time,Method,Red limit,IR limit,R square,Mean squared error,Mean absolute percentage error
"08/08/2024, 01:17:26",Linear Regression,740,754,-0.42,"150,687,608.47",32.18%
"08/08/2024, 01:17:28",Linear Regression,740,759,-1.03,"215,001,655.07",35.02%
"08/08/2024, 01:17:28",Linear Regression,740,758,-1.16,"228,513,700.11",35.99%
"08/08/2024, 01:17:27",Linear Regression,740,756,-1.26,"239,595,865.40",37.30%
"08/08/2024, 01:17:28",Linear Regression,740,757,-1.27,"240,574,703.41",37.54%
"12/08/2024, 19:11:21",elastic_net,661,1426,-0.03,"105,099,723.87",24.94%
"12/08/2024, 18:09:22",elastic_net,660,1426,-0.03,"105,110,232.58",24.94%
"12/08/2024, 15:03:51",elastic_net,657,1426,-0.03,"105,119,786.92",24.94%
"12/08/2024, 17:07:26",elastic_net,659,1426,-0.03,"105,120,528.25",24.94%
"12/08/2024, 16:05:38",elastic_net,658,1426,-0.03,"105,125,719.86",24.94%
"01/09/2024, 22:18:46",gradient_boost,730,1094,-0.24,"131,477,468.56",33.66%
"01/09/2024, 22:18:06",gradient_boost,730,1084,-0.25,"132,642,489.61",33.77%
"03/09/2024, 03:02:21",gradient_boost,737,1084,-0.25,"132,591,840.63",33.78%
"02/09/2024, 18:51:41",gradient_boost,735,1084,-0.26,"133,296,164.45",33.81%
"03/09/2024, 07:10:44",gradient_boost,738,1093,-0.26,"133,595,962.28",33.92%
"13/08/2024, 16:42:04",random_forrest,680,1665,-0.36,"144,501,023.36",34.53%
"12/08/2024, 08:36:59",random_forrest,650,1067,-0.49,"158,479,178.69",35.74%
"11/08/2024, 23:56:19",random_forrest,642,764,-0.51,"160,232,536.88",36.23%
"11/08/2024, 18:51:00",random_forrest,637,1300,-0.52,"160,836,192.42",36.49%
"13/08/2024, 13:08:06",random_forrest,677,937,-0.51,"160,469,704.42",36.99%
"26/08/2024, 16:07:52",ridge,740,755,-0.07,"113,855,424.25",30.93%
"26/08/2024, 16:07:54",ridge,740,756,-0.07,"113,875,397.26",30.93%
"26/08/2024, 16:07:47",ridge,740,752,-0.07,"113,922,615.78",30.94%
"26/08/2024, 16:07:46",ridge,740,751,-0.07,"113,950,018.38",30.94%
"26/08/2024, 16:07:44",ridge,740,750,-0.07,"113,971,957.88",30.95%
"09/08/2024, 17:06:43",SVR,625,750,-0.04,"110,605,690.54",30.89%
"09/08/2024, 17:07:01",SVR,625,750,-0.04,"110,605,690.54",30.89%
"09/08/2024, 17:06:26",SVR,625,764,-0.05,"111,531,206.47",31.07%
"09/08/2024, 17:06:31",SVR,625,765,-0.05,"111,604,128.04",31.09%
"09/08/2024, 17:06:36",SVR,625,766,-0.05,"111,676,384.01",31.10%
