Date & time,Method,Pre proc,Red limit,IR limit,R square of Chlorophyll-a,R square of P,R square of K,Mean squared error of Chlorophyll-a,Mean squared error of P,Mean squared error of K,Mean absolute percentage error of Chlorophyll-a,Mean absolute percentage error of P,Mean absolute percentage error of K
"08/08/2024, 01:17:26",Linear Regression,,740,753,-0.4294362493590207,-0.1410502463659835,-0.1933999917873685,12.234700661868894,780823.3554496851,126529130.5096435,0.0641806691554894,0.2049323060519022,0.3030931696885196
"08/08/2024, 01:17:26",Linear Regression,,740,754,-0.2657104405432537,-0.1738044818125081,-0.4212584088848488,10.83335361866811,803237.1554624336,150687608.4659469,0.0593621061107709,0.2126136216962662,0.3217512128730222
"08/08/2024, 01:17:26",Linear Regression,,740,752,-0.356097208475824,-0.1875906285372697,-0.1171828708263278,11.606983817247926,812671.0479475654,118448280.74299872,0.0628332909432986,0.2111026869445954,0.2991010083265296
"08/08/2024, 01:17:27",Linear Regression,,740,755,-0.2904650903387775,-0.2802845887308824,-1.2678612849175803,11.04523136443917,876101.7419584597,240447895.4850128,0.0604688917776979,0.2198775868668063,0.3718644735296063
"08/08/2024, 01:17:27",Linear Regression,,740,756,-0.2672303167686725,-0.3325006017685659,-1.2598250904804478,10.84636240494272,911833.2819481645,239595865.40144128,0.0598009933046425,0.2186174297957494,0.3729552394735085
"08/08/2024, 01:17:28",Linear Regression,,740,757,-0.22371148007487,-0.340678898752311,-1.2690573144161317,10.473879938277848,917429.7097242852,240574703.4065454,0.058563143977756,0.2198739003012556,0.3753521301862084
"08/08/2024, 00:18:43",Linear Regression,,738,750,-0.2986312908774671,-0.4334391499910053,-0.1167234157781793,11.115126764937417,980905.7668525546,118399567.44640867,0.0623866742419999,0.2366102932096773,0.2973841494117969
"08/08/2024, 00:47:59",Linear Regression,,739,750,-0.324350859379136,-0.4378747761450263,-0.1329424649485293,11.33526335508717,983941.0762161288,120119177.13581716,0.0621207867802429,0.2369109011049264,0.2988651522713506
"08/08/2024, 01:17:28",Linear Regression,,740,758,-0.2230284593803999,-0.4653709956826155,-1.155300101520496,10.468033889706984,1002756.8036303228,228513700.10845777,0.0582700996699139,0.2335937693717739,0.3599324292584083
"08/08/2024, 01:17:28",Linear Regression,,740,759,-0.2556846864255464,-0.4894937537538597,-1.027856924023483,10.747542096402144,1019264.0634638644,215001655.06986836,0.0591510322379572,0.2354211296507626,0.3501677613198681
"15/08/2024, 02:52:10",elastic_net,nvdi,716,757,-0.023444100243946,0.049405728091442,-0.041918875353438,10.25325209977504,681518.3229598234,106360380.536714,0.063395369832672,0.1662000735237041,0.2511686478003933
"14/08/2024, 22:50:54",elastic_net,nvdi,712,757,-0.0234443517927345,0.0481050459935202,-0.0420946762622058,10.253254619886444,682450.8329783193,106378326.51312111,0.0633954511151432,0.1662131938343292,0.2514618347921986
"14/08/2024, 21:50:38",elastic_net,nvdi,711,757,-0.0234438247475121,0.0476802710883644,-0.0416496599859772,10.253249339747027,682755.3707706793,106332898.6956544,0.0633954443034742,0.1662577049514628,0.2513518827352979
"14/08/2024, 20:49:46",elastic_net,nvdi,710,757,-0.02344319225743,0.0472849873161392,-0.0411526785808409,10.253243003220918,683038.7652129784,106282166.21290515,0.0633954338352303,0.1663073406315162,0.2512275576453849
"14/08/2024, 19:49:15",elastic_net,nvdi,709,757,-0.0234426245435206,0.0469421370492509,-0.0406899815592389,10.253237315647134,683284.5680184665,106234933.52286091,0.0633954231988585,0.1663532784815129,0.251121388474504
"14/08/2024, 18:48:35",elastic_net,nvdi,708,757,-0.0234422717546047,0.0466571975212649,-0.0402634807392714,10.253233781273648,683488.8523435425,106191395.78630196,0.0633954152173007,0.1663910220306443,0.2510366376496823
"14/08/2024, 17:47:42",elastic_net,nvdi,707,757,-0.0234421316874262,0.0464108479696989,-0.0398742031893362,10.2532323780274,683665.4700007351,106151657.84765346,0.0633954117147019,0.1664235512146171,0.2509690285310629
